PROJECT	SAMPLE	PATH	TYPE
758	ChaGo-K-1						/nfs/cancer_trk0005/00000019/77822.bam.bai	bam bai
758	CHL-1							/nfs/cancer_trk0005/00000019/69615.bam		bam
758	CHL-1							/nfs/cancer_trk0001/00000004/69616.bam.bai	bam bai
758	CHP-212							/nfs/cancer_trk0010/00000031/103957.bam		bam
758	CHP-212							/nfs/cancer_trk0007/00000024/103958.bam.bai	bam bai
758	COLO-205						/nfs/cancer_trk0005/00000019/69567.bam		bam
758	COLO-205						/nfs/cancer_trk0001/00000003/69568.bam.bai	bam bai
758	COLO-320-HSR						/nfs/cancer_trk0005/00000019/69661.bam		bam
758	COLO-320-HSR						/nfs/cancer_trk0001/00000003/69662.bam.bai	bam bai
758	COLO-668						/nfs/cancer_trk0007/00000023/87663.bam		bam
758	COLO-668						/nfs/cancer_trk0007/00000023/87664.bam.bai	bam bai
758	COLO-678						/nfs/cancer_trk0005/00000019/69663.bam		bam
758	COLO-678						/nfs/cancer_trk0002/00000006/69664.bam.bai	bam bai
758	COLO-679						/nfs/cancer_trk0005/00000019/69585.bam		bam
758	COLO-679						/nfs/cancer_trk0001/00000003/69586.bam.bai	bam bai
758	COLO-680N						/nfs/cancer_trk0010/00000031/103640.bam		bam
758	COLO-680N						/nfs/cancer_trk0002/00000008/103641.bam.bai	bam bai
758	COLO-741						/nfs/cancer_trk0005/00000019/68081.bam		bam
758	COLO-741						/nfs/cancer_trk0004/00000012/68082.bam.bai	bam bai
758	COLO-792						/nfs/cancer_trk0005/00000019/68110.bam		bam
758	COLO-792						/nfs/cancer_trk0004/00000012/68111.bam.bai	bam bai
758	COLO-800						/nfs/cancer_trk0005/00000019/69583.bam		bam
758	COLO-800						/nfs/cancer_trk0001/00000003/69584.bam.bai	bam bai
758	COLO-824						/nfs/cancer_trk0009/00000030/103821.bam		bam
758	COLO-824						/nfs/cancer_trk0009/00000030/103822.bam.bai	bam bai
758	COLO-829						/nfs/cancer_trk0005/00000018/75079.bam		bam
758	COLO-829						/nfs/cancer_trk0001/00000005/75080.bam.bai	bam bai
758	COR-L105						/nfs/cancer_trk0007/00000024/87661.bam		bam
758	COR-L105						/nfs/cancer_trk0007/00000023/87662.bam.bai	bam bai
758	COR-L23							/nfs/cancer_trk0007/00000024/87693.bam		bam
758	COR-L23							/nfs/cancer_trk0006/00000022/87694.bam.bai	bam bai
758	COR-L88							/nfs/cancer_trk0007/00000023/89525.bam		bam
758	COR-L88							/nfs/cancer_trk0007/00000023/89526.bam.bai	bam bai
758	CP50-MEL-B						/nfs/cancer_trk0011/00000037/111511.bam		bam
758	CP50-MEL-B						/nfs/cancer_trk0001/00000005/111512.bam.bai	bam bai
